HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France , Yugoslavia,1960,4,5,9
Czechoslovakia , Soviet Union,1960,0,3,3
Czechoslovakia , France,1960,2,0,2
Soviet Union , Yugoslavia,1960,2,1,3
Spain , Hungary,1964,2,1,3
Denmark , Soviet Union,1964,0,3,3
Hungary , Denmark,1964,3,1,4
Spain , Soviet Union,1964,2,1,3
Hungary , Belgium,1972,1,2,3
West Germany , Soviet Union,1972,3,0,3
Hungary , Soviet Union,1972,0,1,1
Belgium , West Germany,1972,1,2,3
Czechoslovakia , Netherlands,1976,3,1,4
Yugoslavia , West Germany,1976,2,4,6
Netherlands , Yugoslavia,1976,3,2,5
Czechoslovakia , West Germany,1976,2,2,4
Belgium , Spain,1980,2,1,3
Belgium , West Germany,1980,1,2,3
Czechoslovakia , Italy,1980,1,1,2
Italy , Belgium,1980,0,0,0
Spain , England,1980,1,2,3
England , Italy,1980,0,1,1
Spain , Italy,1980,0,0,0
West Germany , Netherlands,1980,3,2,5
Greece , West Germany,1980,0,0,0
Netherlands , Czechoslovakia,1980,1,1,2
Greece , Czechoslovakia,1980,1,3,4
Netherlands , Greece,1980,1,0,1
Czechoslovakia , West Germany,1980,0,1,1
Belgium , England,1980,1,1,2
West Germany , Romania,1984,2,1,3
Denmark , Spain,1984,1,1,2
France , Portugal,1984,3,2,5
Portugal , Romania,1984,1,0,1
West Germany , Spain,1984,0,1,1
Portugal , Spain,1984,1,1,2
Romania , Spain,1984,1,1,2
France , Spain,1984,2,0,2
Denmark , Belgium,1984,3,2,5
France , Yugoslavia,1984,3,2,5
Denmark , Yugoslavia,1984,5,0,5
France , Belgium,1984,5,0,5
Belgium , Yugoslavia,1984,2,0,2
France , Denmark,1984,1,0,1
West Germany , Portugal,1984,0,0,0
Soviet Union , Netherlands,1988,0,2,2
Soviet Union , Italy,1988,2,0,2
West Germany , Netherlands,1988,1,2,3
Republic of Ireland , Netherlands,1988,0,1,1
England , Soviet Union,1988,1,3,4
Republic of Ireland , Soviet Union,1988,1,1,2
England , Netherlands,1988,1,3,4
Netherlands , Soviet Union,1988,0,1,1
England , Republic of Ireland,1988,0,1,1
Italy , Denmark,1988,2,0,2
West Germany , Spain,1988,2,0,2
Italy , Spain,1988,1,0,1
West Germany , Denmark,1988,2,0,2
Denmark , Spain,1988,2,3,5
West Germany , Italy,1988,1,1,2
Netherlands , Denmark,1992,2,2,4
Sweden , Germany,1992,2,3,5
Scotland , CIS,1992,3,0,3
Denmark , Germany,1992,2,0,2
Netherlands , Germany,1992,3,1,4
Netherlands , CIS,1992,0,0,0
Scotland , Germany,1992,0,2,2
Sweden , Denmark,1992,1,0,1
Netherlands , Scotland,1992,1,0,1
France , Denmark,1992,1,2,3
Sweden , England,1992,2,1,3
France , England,1992,0,0,0
Denmark , England,1992,0,0,0
Sweden , France,1992,1,1,2
CIS , Germany,1992,1,1,2
Denmark , Portugal,1996,1,1,2
Turkey , Croatia,1996,0,1,1
Portugal , Turkey,1996,1,0,1
Croatia , Denmark,1996,3,0,3
Croatia , Portugal,1996,0,3,3
Turkey , Denmark,1996,0,3,3
Czech Republic , Portugal,1996,1,0,1
France , Netherlands,1996,0,0,0
Germany , Croatia,1996,2,1,3
France , Czech Republic,1996,0,0,0
Germany , England,1996,1,1,2
Czech Republic , Germany,1996,1,2,3
Italy , Germany,1996,0,0,0
Spain , England,1996,0,0,0
Russia , Czech Republic,1996,3,3,6
England ,  Switzerland,1996,1,1,2
Czech Republic , Italy,1996,2,1,3
Netherlands , Scotland,1996,0,0,0
Switzerland , Netherlands,1996,0,2,2
Scotland , England,1996,0,2,2
Scotland ,  Switzerland,1996,1,0,1
Netherlands , England,1996,1,4,5
Spain , Bulgaria,1996,1,1,2
Russia , Germany,1996,0,3,3
Bulgaria , Romania,1996,1,0,1
France , Spain,1996,1,1,2
France , Bulgaria,1996,3,1,4
Romania , Spain,1996,1,2,3
Germany , Czech Republic,1996,2,0,2
Italy , Russia,1996,2,1,3
Romania , France,1996,0,1,1
Slovenia , Norway,2000,0,0,0
France , Denmark,2000,3,0,3
Netherlands , Czech Republic,2000,1,0,1
Czech Republic , France,2000,1,2,3
Denmark , Netherlands,2000,0,3,3
Denmark , Czech Republic,2000,0,2,2
Netherlands , FR Yugoslavia,2000,6,1,7
Portugal , Turkey,2000,2,0,2
Italy , Romania,2000,2,0,2
Spain , France,2000,1,2,3
France , Portugal,2000,2,1,3
Italy , Netherlands,2000,0,0,0
